Hugo_Symbol,TCGA-3C-AAAU-01,TCGA-3C-AALI-01,TCGA-3C-AALJ-01,TCGA-3C-AALK-01,TCGA-4H-AAAK-01,TCGA-5L-AAT0-01,TCGA-5T-A9QA-01,TCGA-A1-A0SB-01,TCGA-A1-A0SD-01,TCGA-A1-A0SE-01,TCGA-A1-A0SF-01,TCGA-A1-A0SG-01,TCGA-A1-A0SH-01,TCGA-A1-A0SI-01,TCGA-A1-A0SJ-01,TCGA-A1-A0SK-01,TCGA-A1-A0SM-01
A1BG,0.0063,0.2105,1.1521,-0.0245,0.37,0.0402,0.5996,-0.743,-0.2713,-0.0153,0.6595,-0.1369,-0.0786,-0.3414,0.1567,-0.5533,0.5657
A1BG-AS1,-0.0818,2.3484,0.7781,-0.2246,0.9224,0.14,-0.5787,-1.3295,-0.149,-0.0635,0.6017,-0.0628,0.0928,-0.0827,-0.6366,-1.4967,-0.5371
A1CF,-0.2955,-0.2955,2.3789,-0.2955,0.9597,-0.2955,1.2473,-0.2955,-0.2955,-0.2955,-0.2955,-0.2955,-0.2955,-0.2955,-0.2955,-0.2955,-0.2955
A2M,-0.6601,-0.5226,-0.4243,-0.26,-0.3665,-0.1537,-0.8628,1.342,0.7348,0.1097,0.0984,-0.1427,-0.0245,-0.3486,0.6046,-0.7847,-0.415
A2M-AS1,0.3222,0.1641,-0.7334,-0.6917,0.2771,0.3742,-0.8779,0.0539,0.6685,-0.4871,0.017,-0.8551,0.703,-0.4521,0.1416,-0.1723,0.1226
A2ML1,-0.2305,-0.2251,-0.2331,-0.23,-0.2268,-0.2309,-0.2331,-0.2273,-0.2191,-0.2312,-0.2268,-0.2298,-0.2304,-0.2239,-0.2317,-0.1873,-0.2325
A4GALT,-1.0246,-0.7163,0.7181,0.4856,-0.0806,0.0159,0.1588,-0.0968,0.04,-0.3422,0.261,0.8756,-0.0586,-0.3378,1.0511,-0.985,-0.2295
A4GNT,7.8969,-0.2016,-0.7471,-0.7471,-0.3202,3.3722,2.9257,0.1568,-0.0834,-0.7471,0.1124,-0.0248,0.3399,0.7291,-0.7471,-0.1148,0.5195
AAAS,-0.4025,0.8745,-0.0058,0.2806,0.5062,1.2299,0.7966,-0.0683,-1.0554,-0.4715,1.5031,-0.0302,-1.0731,-0.5434,-1.1642,1.5549,-1.678
AACS,-0.0546,-0.4563,0.6585,-0.4215,-0.4504,-0.4607,0.1227,1.7,-0.5389,-0.4644,-1.0857,0.9594,-0.4821,-0.2834,-0.4261,2.0802,0.3666
AACSP1,-0.0423,0.9567,-0.0029,-0.0829,-0.0704,-0.0829,-0.0829,24.047,-0.0732,-0.0732,-0.0829,-0.0829,-0.0723,-0.0829,-0.0183,-0.0736,-0.0829
AADAC,-0.1617,-0.1299,-0.1352,-0.0769,-0.1493,-0.1617,-0.1617,-0.1617,-0.1617,-0.1521,-0.1617,-0.1512,-0.1617,-0.1359,-0.0974,-0.1617,-0.1617
AADACL2,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.0768,-0.014,-0.0768,0.6632,-0.0768
AADACL3,-0.1557,-0.1557,0.9668,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557,-0.1557
AADACL4,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,-0.2325,1.8822,-0.2325,-0.2325,1.6129,-0.2325
AADACP1,-0.6724,-0.6724,0.6811,0.2541,-0.037,-0.6724,-0.6724,0.3365,0.0685,0.0645,-0.3526,-0.6724,0.1364,-0.0133,-0.3993,-0.6724,-0.4367
AADAT,-0.4314,-0.3092,-0.1222,-0.0989,-0.061,-0.2439,0.2713,0.8251,-0.2111,-0.2803,-0.3482,-0.2743,0.1266,-0.2905,-0.0873,2.2772,-0.2513
AAED1,-0.5776,-0.8578,-0.2869,-0.7659,-0.3841,-0.4697,-0.3348,-0.4608,0.1979,-0.6864,-0.9182,-0.9715,-0.4893,0.5126,0.1037,0.2855,-0.3445
AAGAB,-0.9302,3.2401,-0.8177,-0.2172,0.0044,0.1716,1.4592,-1.7708,0.283,-0.2813,-1.4759,1.6768,-0.8311,-1.2378,-0.4052,0.2968,0.1093
AAK1,-1.3004,-0.2706,-1.1414,-0.6456,-0.7995,0.0341,-1.8378,0.3519,0.5292,0.2428,-0.8466,-1.5503,0.7894,0.262,-0.7407,-1.3196,1.4432
