,source,TCGA-3C-AAAU-01,TCGA-3C-AALI-01,TCGA-3C-AALJ-01,TCGA-3C-AALK-01,TCGA-4H-AAAK-01,TCGA-5L-AAT0-01,TCGA-5T-A9QA-01,TCGA-A1-A0SB-01,TCGA-A1-A0SD-01,TCGA-A1-A0SE-01,TCGA-A1-A0SF-01,TCGA-A1-A0SG-01,TCGA-A1-A0SH-01,TCGA-A1-A0SI-01
Rosiglitazone Pharmacokinetic Pathway=PA165816969,PharmGKB,0.302671772,0.660153443,0.558013265,0.442895948,0.176251638,0.383579773,0.329999062,0.276323408,0.193850835,0.272561134,0.270789927,0.257817846,0.296535259,0.172736631
spermine biosynthesis=ARGSPECAT-PWY,HumanCyc,0.396028538,0.621011738,0.098953699,0.618107617,0.314726214,0.383298266,0.476288893,0.592251489,0.109373411,0.517264698,0.564302119,0.630603027,0.24026731,0.093543675
"Plasma lipoprotein assembly, remodeling, and clearance=WP4129",Wikipathways,0.665501943,0.504467645,0.801271403,0.400392181,0.192634999,0.480298033,0.478594408,0.172394889,0.519521037,0.289321052,0.365067129,0.531869218,0.606743769,0.206573004
Signaling by Overexpressed Wild-Type EGFR in Cancer=R-HSA-5638302,Reactome,0.114859531,0.163043444,0.125040522,0.412338678,0.145893606,0.05758921,0.187203022,0.887861987,0.498498292,0.774374672,0.263791475,0.22331654,0.677495714,0.586120069
"Carbamazepine Pathway, Pharmacokinetics=PA165817070",PharmGKB,0.327122824,0.509513398,0.5780996,0.234438315,0.212181603,0.254000898,0.564425824,0.486540556,0.282402918,0.394470548,0.154708951,0.451253532,0.275408248,0.308943751
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function=WP4132,Wikipathways,0.225682649,0.552517744,0.554625271,0.406001541,0.453421206,0.464052665,0.512854715,0.541075307,0.588626147,0.367951366,0.383087761,0.295358225,0.479239234,0.594981326
PI3K-Akt signaling pathway - Homo sapiens (human)=path:hsa04151,KEGG,0.14869031,0.277102333,0.302431498,0.562058908,0.443224709,0.406567793,0.012012062,0.404922753,0.723222883,0.646554854,0.411938318,0.499265727,0.814408793,0.655932352
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)=path:hsa00250",KEGG,0.313477543,0.491555507,0.244547375,0.419596176,0.322859833,0.221459798,0.957394809,0.505247912,0.3352454,0.278654193,0.46455047,0.685856669,0.35268815,0.509895839
Folate biosynthesis - Homo sapiens (human)=path:hsa00790,KEGG,0.568022391,0.278229357,0.418088432,0.119831497,0.199584154,0.237243149,0.671044268,0.153539375,0.601448577,0.383030506,0.369316642,0.162951256,0.286269406,0.15866069
Complement and coagulation cascades - Homo sapiens (human)=path:hsa04610,KEGG,0.14533705,0.396559833,0.415655497,0.479543153,0.494742044,0.546462267,0.231114917,0.16645315,0.605609614,0.326508383,0.484305536,0.421903598,0.632603097,0.546491247
Citrate cycle (TCA cycle) - Homo sapiens (human)=path:hsa00020,KEGG,0.423855842,0.482710139,0.237424999,0.337340365,0.246455652,0.112814085,0.645639302,0.431957677,0.318639075,0.461166425,0.659891619,0.6003891,0.331733275,0.559969064
Antigen processing and presentation - Homo sapiens (human)=path:hsa04612,KEGG,0.272001756,0.50517357,0.473433359,0.281551919,0.220858702,0.593736999,0.385139266,0.138414998,0.417400986,0.279270707,0.447088083,0.271714272,0.391446582,0.633824063
Primary immunodeficiency - Homo sapiens (human)=path:hsa05340,KEGG,0.200899465,0.546424713,0.500363887,0.330846568,0.229037302,0.530671237,0.367578848,0.105620845,0.231025999,0.164846548,0.469037579,0.366997941,0.287122967,0.493422593
Tryptophan metabolism - Homo sapiens (human)=path:hsa00380,KEGG,0.340421917,0.732696357,0.50339444,0.582352951,0.584992489,0.291882301,0.73717137,0.617389018,0.667334771,0.516772563,0.423170497,0.471905719,0.476719867,0.523248595
Prion diseases - Homo sapiens (human)=path:hsa05020,KEGG,0.436237801,0.666977865,0.604580573,0.621853175,0.460722068,0.42556921,0.429253489,0.436470681,0.339774214,0.503965001,0.471101746,0.501973498,0.498756691,0.577110473
Fanconi anemia pathway - Homo sapiens (human)=path:hsa03460,KEGG,0.730147452,0.787009277,0.635263887,0.55327371,0.587237887,0.435170792,0.638461808,0.647669282,0.307532606,0.615814158,0.479994364,0.512824857,0.163668451,0.764966443
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)=path:hsa04750,KEGG,0.469290581,0.441783584,0.511570295,0.574482591,0.454482928,0.141143331,0.228117244,0.211937073,0.594533357,0.388344883,0.327139831,0.496498892,0.522926436,0.638362597
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)=path:hsa00604,KEGG,0.455535554,0.391676235,0.550724817,0.394617962,0.469898902,0.502026232,0.458110147,0.370773935,0.80444811,0.498023281,0.273524185,0.625416473,0.917393237,0.620721168
Non-small cell lung cancer - Homo sapiens (human)=path:hsa05223,KEGG,0.337642959,0.670263555,0.536223615,0.505916672,0.588543874,0.33800433,0.407611071,0.619036061,0.619708391,0.570887805,0.339783845,0.663749485,0.783526827,0.841633882
