gene_name,interaction_type,drug_name,approved
CYP2D6,NULL,RACLOPRIDE,FALSE
PPARG,NULL,CHEMBL:CHEMBL1833984,FALSE
ATAD5,NULL,CHEMBL:CHEMBL91609,FALSE
RGS4,NULL,"3,4-DICHLOROISOCOUMARIN",FALSE
MAPK1,NULL,WITHAFERIN A,FALSE
AGTR1,NULL,ANGIOTENSIN II,TRUE
KDR,NULL,NERATINIB,TRUE
PARP1,NULL,CEP-9722,FALSE
NUDT2,agonist,ETORPHINE,FALSE
DTNB,inhibitor,COMPOUND 8E [PMID: 24432909],FALSE
F10,inhibitor,GDC-0339,FALSE
RYR3,activator,RYANODINE,FALSE
KIT,NULL,IMATINIB,TRUE
CCL4,NULL,CLODRONIC ACID,TRUE
CSF2,NULL,PLATINUM,FALSE
BAZ2B,NULL,OXYTETRACYCLINE ANHYDROUS,TRUE
JUN,NULL,BENZENETHIOL,FALSE
EHMT2,NULL,CHEMBL:CHEMBL590168,FALSE
CSNK2A3,NULL,CISPLATIN,TRUE
ADRB1,NULL,ARBUTAMINE,TRUE
SCN10A,NULL,DIBUCAINE,TRUE
AGTR1,NULL,CHEMBL:CHEMBL347610,FALSE
AQP1,agonist,[125I]TYR11-SRIF-14,FALSE
FGFR3,NULL,NINTEDANIB ESYLATE,TRUE
ADRB3,agonist,DIPIVEFRIN HYDROCHLORIDE,TRUE
PLG,activator,LANOTEPLASE,FALSE
KCND3,blocker,VERNAKALANT HYDROCHLORIDE,FALSE
RPL28,inhibitor,MT-3724,FALSE
ESR1,inhibitor,TAMOXIFEN,TRUE
POLK,NULL,MAREIN,FALSE
GPR55,NULL,PHENOLPHTHALEIN,TRUE
CYP2D6,NULL,TETRABENAZINE,TRUE
HIF1A,NULL,NOSCAPINE,FALSE
DRD2,NULL,REMOXIPRIDE,TRUE
ANXA2P1,agonist,NEUROPEPTIDE B-29,FALSE
PRMT1,inhibitor,RM65,FALSE
FGFR1,NULL,AVUTOMETINIB,FALSE
HDAC9,inhibitor,ABEXINOSTAT,FALSE
NR3C1,NULL,DACTINOMYCIN,TRUE
RAB40B,NULL,AMSILAROTENE,FALSE
F10,inhibitor,SGI-1776,FALSE
CACNA1D,inhibitor,AMLODIPINE BESYLATE,TRUE
NR1H4,NULL,THEONELLASTEROL E,FALSE
SMAD3,NULL,CHEMBL:CHEMBL601367,FALSE
CSF1R,NULL,CENISERTIB,FALSE
CAMK2D,NULL,LINIFANIB,FALSE
IL6R,NULL,BAZEDOXIFENE,TRUE
RPS6KB1,NULL,TOZASERTIB,FALSE
HIPK4,NULL,CYC-116,FALSE
NSD2,NULL,CHEMBL:CHEMBL1504679,FALSE
EHMT2,NULL,S-NITROSOGLUTATHIONE,FALSE
CYP2C9,NULL,E324,FALSE
PTGS1,NULL,NABUMETONE,TRUE
AQP3,agonist,"[SAR9,MET(O2)11]SP",FALSE
AVPR1A,agonist,VASOPRESSIN TANNATE,TRUE
HMGCR,inhibitor,PITAVASTATIN MAGNESIUM,TRUE
KDM4A,NULL,CARBETAPENTANE CITRATE,TRUE
CD274,immunotherapy,ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105,FALSE
CD274,antibody,ANTI-PD-L1 MONOCLONAL ANTIBODY MDX-1105,FALSE
GCNT2,inhibitor,BIX-01294,FALSE
PAK4,NULL,PADNARSERTIB,FALSE
ERBB2,NULL,BMS-599626,FALSE
KIT,inhibitor,ENMD-2076,FALSE
ASAH1,blocker,PICROTOXIN,FALSE
GRIN2D,blocker,CNS-5161,FALSE
EDN1,NULL,THIOURACIL,FALSE
KLK3,NULL,BCG VACCINE,TRUE
LEP,NULL,LAMIVUDINE,TRUE
CYP2C9,NULL,AM404,FALSE
KAT2A,NULL,N-ARACHIDONYL-&GAMMA;-AMINOBUTYRIC ACID,FALSE
RAD52,NULL,CHEMBL:CHEMBL1415258,FALSE
PPARD,NULL,CER-002,FALSE
CRHR2,NULL,CORTICOTROPIN-RELEASING FACTOR,FALSE
GABRP,NULL,CLOTIAZEPAM,TRUE
CD8B,inhibitor,BUPROPION HYDROCHLORIDE,TRUE
MAP2K2,inhibitor,SELUMETINIB,TRUE
PTGS1,NULL,MESALAMINE,TRUE
FPR1,NULL,REBAMIPIDE,FALSE
CFTR,NULL,NAVOCAFTOR,FALSE
PTK2B,inhibitor,GILTERITINIB,TRUE
C10orf67,NULL,MITOXANTRONE,TRUE
MAP2K1,inhibitor,CI-1040,FALSE
GLP1R,NULL,CHEMBL:CHEMBL259615,FALSE
PIK3R6,inhibitor,BUPARLISIB HYDROCHLORIDE,FALSE
RARG,NULL,RETINOIC ACID AGENT,FALSE
BTK,NULL,IBRUTINIB,TRUE
IGF1R,NULL,CHEMBL:CHEMBL459729,FALSE
MDM2,NULL,MILADEMETAN,FALSE
ESR1,NULL,PALBOCICLIB,TRUE
TERT,NULL,ERIBULIN MESYLATE,TRUE
EGFR,NULL,GW843682X,FALSE
ALK,NULL,CERITINIB,TRUE
FEN1,NULL,SRT-1720,FALSE
SMN2,NULL,4-BENZYLOXYANILINE,FALSE
ALK,inhibitor,X-396,FALSE
CYP3A4,NULL,UMIFENOVIR,FALSE
CTRB1,inhibitor,Y27632,FALSE
CCR3,antibody,DALUTRAFUSP ALFA,FALSE
SLC10A2,inhibitor,ELOBIXIBAT,FALSE
FGFR3,inhibitor,NINTEDANIB ESYLATE,TRUE
VWF,NULL,PHENYLEPHRINE,TRUE
MAPK12,NULL,PEXMETINIB,FALSE
NR3C1,agonist,METHYLPREDNISOLONE SODIUM SUCCINATE,TRUE
HMGCR,inhibitor,FLUVASTATIN,TRUE
TUBA1B,inhibitor,PACLITAXEL,TRUE
CACNA1H,modulator,PREGABALIN,TRUE
AGTR1,inhibitor,TASOSARTAN,FALSE
ANGPT2,inhibitor,FARICIMAB,TRUE
HRAS,NULL,EVEROLIMUS,TRUE
ERBB2,NULL,NERATINIB,TRUE
MRPL36,inhibitor,CLINDAMYCIN HYDROCHLORIDE,TRUE
ATXN2,NULL,TYRPHOSTIN A9,FALSE
CYP1A2,NULL,DESIPRAMINE,TRUE
ADRA1D,inhibitor,SERTINDOLE,TRUE
COX8A,NULL,NEPAFENAC,TRUE
ESR1,NULL,FULVESTRANT,TRUE
ADRA1A,inhibitor,PRAZOSIN HYDROCHLORIDE,TRUE
CFTR,NULL,LUMACAFTOR,TRUE
CD4,negative modulator,PRILIXIMAB,FALSE
USP1,NULL,SOFALCONE,FALSE
CHKA,NULL,DEXAMETHASONE,TRUE
GABRG1,agonist,PADSEVONIL,FALSE
SLC25A6,modulator,AZD6538,FALSE
APLP1,agonist,LV-2172,FALSE
NCSTN,modulator,TARENFLURBIL,FALSE
CYP1A2,NULL,CHELERYTHRINE,FALSE
IL6,NULL,"INSULIN, REGULAR, HUMAN",TRUE
VDR,agonist,2MD,FALSE
MAPT,NULL,"2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE",FALSE
PLCG2,NULL,IBRUTINIB,TRUE
ITGB5,NULL,CILENGITIDE,FALSE
ABL2,inhibitor,WB 4101,FALSE
RND3,activator,ALPROSTADIL,TRUE
CXCL12,NULL,CHLORAMBUCIL,TRUE
GATA3,NULL,CYTARABINE,TRUE
GABRE,NULL,ADIPIPLON,FALSE
SOD2,NULL,ANTIBIOTIC,FALSE
ADRB2,NULL,VILANTEROL,TRUE
TUBA1B,NULL,PACLITAXEL,TRUE
